rank,tier,protocol,chains,score,volume_30d_usd,fees_30d_usd,trend_7d_pct,pain_angle,offer,price,contact_route,contact_url,source_urls,verification,next_action
1,A - pitch now,Aerodrome,Base,100,17646524104,9717878,25.24,visible markets could use a cleaner operator summary,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @aerodromefi,https://x.com/aerodromefi,https://defillama.com/protocol/aerodrome-slipstream | https://defillama.com/protocol/aerodrome-v1,Public route found; verify before sending,Send X DM with sample report CTA
2,A - pitch now,Uniswap,Base | Optimism | Unichain | Zora,100,11055364442,24105236,1.17,multi-chain Superchain footprint needs one consolidated evidence view,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @Uniswap,https://x.com/Uniswap,https://defillama.com/protocol/uniswap-v4 | https://defillama.com/protocol/uniswap-v3 | https://defillama.com/protocol/uniswap-v2,Public route found; verify before sending,Send X DM and look for ecosystem/BD email
3,A - pitch now,PancakeSwap,Base,100,3925947323,590656,-10.53,fee output may need clearer source-backed explanation relative to visible volume,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @PancakeSwap,https://x.com/PancakeSwap,https://defillama.com/protocol/pancakeswap-amm-v3 | https://defillama.com/protocol/pancakeswap-infinity | https://defillama.com/protocol/pancakeswap-amm,Public route found; verify before sending,Send X DM with Base-specific angle
4,A - pitch now,Hanji Protocol,Base,100,89787397,8945,-68.93,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @HanjiProtocol,https://x.com/HanjiProtocol,https://defillama.com/protocol/hanji-protocol,Public route found; verify before sending,Pitch weak-market diagnostic
5,A - pitch now,Curve,Base | Optimism | Unichain,99,82014257,179575,-61.68,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @CurveFinance,https://x.com/CurveFinance,https://defillama.com/protocol/curve-dex,Public route found; verify before sending,Pitch monitoring instead of one-off only
6,A - pitch now,Clober,Base,95,12013342,1207,-55.41,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @CloberDEX,https://x.com/CloberDEX,https://defillama.com/protocol/clober-v2,Public route found; verify before sending,Pitch weak-market diagnostic
7,A - pitch now,Velodrome,Optimism | Mode | Unichain,92,325582901,152575,15.49,multi-chain Superchain footprint needs one consolidated evidence view,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @VelodromeFi,https://x.com/VelodromeFi,https://defillama.com/protocol/velodrome-v3 | https://defillama.com/protocol/velodrome-v2 | https://defillama.com/protocol/velodrome-v1,Public route found; verify before sending,Pitch recurring Superchain monitoring
8,A - pitch now,ElfomoFi,Base,92,187824408,15776,33.00,fee output may need clearer source-backed explanation relative to visible volume,Mini Liquidity Evidence Pack,$500 fixed,Official X @elfomo_fi,https://x.com/elfomo_fi,https://defillama.com/protocol/elfomofi,Public route found; verify before sending,Send X DM with fee-efficiency angle
9,A - pitch now,SushiSwap,Base | Optimism,91,36811824,5489,34.36,fee output may need clearer source-backed explanation relative to visible volume,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @SushiSwap,https://x.com/SushiSwap,https://defillama.com/protocol/sushiswap-v3 | https://defillama.com/protocol/sushiswap | https://defillama.com/protocol/sushi-trident,Public route found; verify before sending,Pitch Base/Optimism monitoring
10,A - pitch now,Metric,Base,90,1010635545,,-15.91,public volume is visible but fee attribution needs a clean evidence pack,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Official X @Metricxyz,https://x.com/Metricxyz,https://defillama.com/protocol/metric,Verify X handle before outreach,Verify protocol/contact before sending
11,A - pitch now,Maverick Protocol,Base,89,19631306,7270,-52.32,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @mavprotocol,https://x.com/mavprotocol,https://defillama.com/protocol/maverick-v2 | https://defillama.com/protocol/maverick-v1,Public route found; verify before sending,Pitch weak-market diagnostic
12,A - pitch now,Tessera V,Base,88,569591650,,-29.05,recent volume weakness creates a clear monitoring/report angle,7-day Liquidity Impact Report,$500 fixed pilot; follow-up from $1500 if useful,Find official X/Discord from DefiLlama and website,https://defillama.com/protocol/tessera-v,https://defillama.com/protocol/tessera-v,Needs manual contact discovery,Research contact before any outreach
13,B - enrich next,Fluid,Base,87,41706335,2749,89.20,fee output may need clearer source-backed explanation relative to visible volume,Mini Liquidity Evidence Pack,$500 fixed,Official X @0xfluid,https://x.com/0xfluid,https://defillama.com/protocol/fluid-dex,Public route found; verify before sending,Enrich email/contact then send
14,B - enrich next,Alien Base,Base,86,16451719,5536,-36.70,recent volume weakness creates a clear monitoring/report angle,Weak Market Diagnostic,$500 fixed,Official X @AlienBaseDEX,https://x.com/AlienBaseDEX,https://defillama.com/protocol/alien-base-v2,Public route found; verify before sending,Enrich email/contact then send
15,B - enrich next,WOOFi,Base | Optimism,86,9276048,1361,408.56,fee output may need clearer source-backed explanation relative to visible volume,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @_WOOFi,https://x.com/_WOOFi,https://defillama.com/protocol/woofi,Public route found; verify before sending,Pitch monitoring after contact enrichment
16,B - enrich next,Lunarbase,Base,85,24669107,4877,198.69,fee output may need clearer source-backed explanation relative to visible volume,Mini Liquidity Evidence Pack,$500 fixed,Official X @lunarbaseX,https://x.com/lunarbaseX,https://defillama.com/protocol/lunarbase,Public route found; verify before sending,Enrich email/contact then send
17,B - enrich next,BaseSwap / BaseX,Base,85,819923,255,-67.48,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @BaseSwapDex,https://x.com/BaseSwapDex,https://defillama.com/protocol/basex | https://defillama.com/protocol/baseswap-v2,Public route found; verify before sending,Pitch weak-market diagnostic
18,B - enrich next,Balancer,Base | Optimism | Mode,82,25255707,39797,238.43,multi-chain Superchain footprint needs one consolidated evidence view,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @Balancer,https://x.com/Balancer,https://defillama.com/protocol/balancer-v2 | https://defillama.com/protocol/balancer-v3,Public route found; verify before sending,Pitch recurring monitoring
19,B - enrich next,Ryze Protocol,Base,82,5420638,1872,-96.97,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @RyzeProtocol,https://x.com/RyzeProtocol,https://defillama.com/protocol/ryze-protocol,Public route found; verify before sending,Pitch weak-market diagnostic
20,B - enrich next,Solidly,Base | Optimism,81,21404554,,-41.35,recent volume weakness creates a clear monitoring/report angle,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @SolidlyLabs,https://x.com/SolidlyLabs,https://defillama.com/protocol/solidly-v3,Public route found; verify before sending,Enrich email/contact then send
21,B - enrich next,SectorOne,Base,79,2180354,1325,-42.67,recent volume weakness creates a clear monitoring/report angle,Weak Market Diagnostic,$500 fixed,Official X @SectorOneDEX,https://x.com/SectorOneDEX,https://defillama.com/protocol/sectorone-dlmm,Public route found; verify before sending,Pitch weak-market diagnostic
22,B - enrich next,QuickSwap,Base,78,65066223,28501,23.90,visible markets could use a cleaner operator summary,Mini Liquidity Evidence Pack,$500 fixed,Official X @QuickswapDEX,https://x.com/QuickswapDEX,https://defillama.com/protocol/quickswap-v4 | https://defillama.com/protocol/quickswap-dex,Public route found; verify before sending,Enrich email/contact then send
23,B - enrich next,TrebleSwap,Base,77,1771346,4103,-60.47,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @TrebleSwap,https://x.com/TrebleSwap,https://defillama.com/protocol/treble-v2 | https://defillama.com/protocol/treble-spot,Public route found; verify before sending,Pitch weak-market diagnostic
24,B - enrich next,DackieSwap,Base | Optimism | Mode,76,115162,118,72.23,multi-chain Superchain footprint needs one consolidated evidence view,Superchain Market Monitoring,lightweight watchlist from $750/mo; full reporting from $1500/mo,Official X @DackieSwap,https://x.com/DackieSwap,https://defillama.com/protocol/dackieswap-v3 | https://defillama.com/protocol/dackieswap-v2,Public route found; verify before sending,Pitch monitoring after contact enrichment
25,C - monitor,Native,Base,75,15388652,,-79.25,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @native_fi,https://x.com/native_fi,https://defillama.com/protocol/native-swap,Public route found; verify before sending,Keep in second outreach wave
26,C - monitor,Stabull Finance,Base,74,615476,917,-20.16,recent volume weakness creates a clear monitoring/report angle,Mini Liquidity Evidence Pack,$500 fixed,Official X @stabullfinance,https://x.com/stabullfinance,https://defillama.com/protocol/stabull-finance,Public route found; verify before sending,Keep in second outreach wave
27,C - monitor,EulerSwap / Euler,Unichain,74,34302,0,-83.00,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @eulerfinance,https://x.com/eulerfinance,https://defillama.com/protocol/eulerswap,Public route found; verify before sending,Keep in second outreach wave
28,C - monitor,Alphix,Base,73,446012,1247,-17.48,visible markets could use a cleaner operator summary,Mini Liquidity Evidence Pack,$500 fixed,Official X @AlphixFi,https://x.com/AlphixFi,https://defillama.com/protocol/alphix,Public route found; verify before sending,Keep in second outreach wave
29,C - monitor,Infusion,Base,72,305923,916,-36.05,recent volume weakness creates a clear monitoring/report angle,Weak Market Diagnostic,$500 fixed,Official X @infusionfinance,https://x.com/infusionfinance,https://defillama.com/protocol/infusion,Public route found; verify before sending,Keep in second outreach wave
30,C - monitor,Raindex,Base,70,2841119,,-99.88,sharp 7d volume drop needs a source-backed explanation before incentives or BD follow-up,Weak Market Diagnostic,$500 fixed,Official X @rainprotocol,https://x.com/rainprotocol,https://defillama.com/protocol/raindex,Public route found; verify before sending,Keep in second outreach wave
